分类,字段/事件,HTTP方法及端点,数据状态,格式/示例值,前置条件,对外接口说明
=== API端点 ===,,,,,,
赛程列表,（整个响应体）,GET /api/matches,✅ 真实,JSON数组（21条）,无（服务器启动自动加载）,"可直接消费：英超未来14天赛程，含队名/队徽/赔率/轮次/时间"
单场数据,（整个响应体）,GET /api/match/:id,✅/⚠️ 混合,JSON对象（完整match结构）,需先调用 prepare，"可直接消费：prepare后包含全量数据，含球员/xG/伤情/历史注等"
触发数据补全,status/seedsReady,POST /api/match/:id/prepare,操作型,{"status":"ok"or"pending"},无,"调用后等待约3-8秒，并行拉取FPL/历史/H2H/Odds数据并LLM生成seeds"
就绪检查,ready: boolean,GET /api/match/:id/ready,✅ 实时,{"ready":true/false},无,"轮询用：检查 prepare 是否完成（seeds已生成=true）"
AI议会事件流,SSE事件流（多类型）,GET /api/run?matchId=xxx,⚠️ AI生成,text/event-stream（SSE），见下方事件类型,需 prepare 完成,"核心输出：完整AI辩论过程，可接入任意前端/后端实时消费"
监控状态流,blackboard+recentEvents,GET /api/monitor,✅/⚠️ 混合,text/event-stream 每2秒推送,无（独立运行）,"监控用：可用于仪表盘或外部监控系统消费实时辩论状态"
录入比赛结果,hitLevels（各agent准确率）,POST /api/result,✅ 真实,{"actualScore":[2,1]}，返回各agent命中情况,需议会跑完，"用于赛后验证：触发准确率更新，可作为评估各agent预测质量的数据接口"
Agent历史准确率,各agent.total/correct/accuracy/byType,GET /api/memory/profiles,✅ 真实（累积）,"{'stat':{total:N,correct:M,...}}","历史数据持久化于 .memory/long-term.json","可消费：各AI角色历史胜率统计，可用于加权推荐或展示可信度"
视频生成（可选）,video URL,POST /api/generate-video,依赖HuggingFace,{playerName+actionDesc}→视频URL,需 HUGGINGFACE_TOKEN 环境变量,"通过HuggingFace Inference API生成球员动作视频片段（实验性功能）"
,,,,,,
=== 单场数据字段（GET /api/match/:id，prepare后完整） ===,,,,,,
=== 基础赛事信息 ===,,,,,,
主队名（中文）,home,GET /api/match/:id,✅ 真实,字符串 "曼联",服务器启动,"可直接用作队名显示，中文已映射"
客队名（中文）,away,GET /api/match/:id,✅ 真实,字符串 "布伦特福德",服务器启动,
主队队旗emoji,homeFlag,GET /api/match/:id,✅ 真实,字符串 "🔴",服务器启动,
客队队旗emoji,awayFlag,GET /api/match/:id,✅ 真实,字符串 "🔴",服务器启动,
主队队徽URL,homeCrest,GET /api/match/:id,✅ 真实,URL字符串（football-data.org CDN）,服务器启动,
客队队徽URL,awayCrest,GET /api/match/:id,✅ 真实,URL字符串（football-data.org CDN）,服务器启动,
轮次,stage,GET /api/match/:id,✅ 真实,字符串 "第34轮",服务器启动,
场地,venue,GET /api/match/:id,✅ 真实,字符串 "Emirates Stadium",服务器启动,
比赛UTC时间,utcDate,GET /api/match/:id,✅ 真实,ISO8601字符串,服务器启动,
比赛意义分级,leagueContext.stakes,GET /api/match/:id,✅ 真实（推导）,"枚举：title/top4/relegation/mixed/mid",服务器启动,"可用于内容优先级排序"
主队排名,leagueContext.homeRank,GET /api/match/:id,✅ 真实,数字 3,服务器启动,
客队排名,leagueContext.awayRank,GET /api/match/:id,✅ 真实,数字 9,服务器启动,
主队积分,leagueContext.homePoints,GET /api/match/:id,✅ 真实,数字 58,服务器启动,
客队积分,leagueContext.awayPoints,GET /api/match/:id,✅ 真实,数字 48,服务器启动,
英超总轮次,leagueContext.totalMatchdays,GET /api/match/:id,✅ 真实,数字 38,服务器启动,
,,,,,,
=== 赔率数据 ===,,,,,,
主队欧赔,odds.home,GET /api/match/:id,✅ 真实（bet365）,数字 2.5,服务器启动,
平局欧赔,odds.draw,GET /api/match/:id,✅ 真实（bet365）,数字 3.2,服务器启动,
客队欧赔,odds.away,GET /api/match/:id,✅ 真实（bet365）,数字 2.8,服务器启动,
水钱与隐含概率,briefing.ev,GET /api/match/:id,✅ 真实（计算）,"字符串 '庄家水钱7.0%；主胜37.4%、平局29.2%、客胜33.4%'",prepare后,"可直接用于显示赔率效率分析"
赔率隐含比分倾向,briefing.impliedScore,GET /api/match/:id,✅ 真实（计算）,"字符串 '小幅看主队→1-0或2-1，进球中等(2-3球)'",prepare后,
赔率文字描述,briefing.oddsMove,GET /api/match/:id,✅ 真实（格式化），"字符串 '主队赔率2.5，平局赔率3.2，客队赔率2.8'",prepare后,"注：目前无历史赔率对比，仅当前值"
,,,,,,
=== 近期战绩（football-data.org v4） ===,,,,,,
主队近5场战绩,briefing.homeForm,GET /api/match/:id,✅ 真实,"字符串 '近5场：2胜1平2负，进球1.6/场'",prepare后,
客队近5场战绩,briefing.awayForm,GET /api/match/:id,✅ 真实,"字符串 '近5场：0胜5平0负，进球0.8/场'",prepare后,
主队场均进失球,briefing.avgHomeGoals,GET /api/match/:id,✅ 真实,"字符串 '曼联场均进1.6球/失0.8球'",prepare后,
